,name,age,height,short-age
155,Juliette Binoche,61,5ft 6,False
156,Thora Birch,43,5ft 4,False
157,Jacqueline Bisset,81,5ft 6,False
158,Linda Blair,66,5ft 2,False
159,Brian Blessed,89,5ft 9,False
160,Helena Bonham Carter,59,5ft 2,False
161,Bruce Boxleitner,75,6ft 2,False
162,Amy Brenneman,61,5ft 6,False
163,Jeff Bridges,76,6ft 1,False
164,Mel Brooks,99,5ft 5,False
165,Clancy Brown,66,6ft 3,False
166,Yancy Butler,55,5ft 7,False
167,Michael Caine,92,6ft 1,False
168,Barbara Carrera,80,5ft 8,False
169,David Caruso,69,5ft 11,False
170,Kim Cattrall,69,5ft 6,False
171,Lacey Chabert,43,5ft 2,False
172,Jackie Chan,71,5ft 8,False
173,Stockard Channing,81,5ft 3,False
174,Chevy Chase,82,6ft 3,False
175,Don Cheadle,61,5ft 7,False
176,Cher,79,5ft 6,False
177,Glenn Close,78,5ft 4,False
178,Rachael Leigh Cook,46,5ft 2,False
179,Cindy Crawford,59,5ft 9,True
180,James Cromwell,85,6ft 6,False
181,David Cronenberg,82,5ft 9,False
182,Billy Crystal,77,5ft 6,False
183,Macaulay Culkin,45,5ft 6,False
184,Tim Curry,79,5ft 7,False
185,Beverly D'Angelo,74,5ft 2,False
186,Donna D'Errico,57,5ft 4,False
187,Vincent D'Onofrio,66,6ft 3,False
188,Willem Dafoe,70,5ft 7,False
189,Matt Damon,55,5ft 9,False
190,Anthony Daniels,79,5ft 8,False
191,Lolita Davidovich,64,5ft 6,False
192,Rebecca De Mornay,66,5ft 5,False
193,Danny DeVito,81,4ft 10,False
194,Loren Dean,56,5ft 11,False
195,Julie Delpy,56,5ft 6,True
196,Catherine Deneuve,82,5ft 6,False
197,Laura Dern,58,5ft 10,False
198,Matt Dillon,61,5ft 10,False
199,Ami Dolenz,56,5ft 3,False
200,Amanda Donohoe,63,5ft 7,False
201,Michael Dorn,73,6ft 2,False
202,Brad Dourif,75,5ft 9,False
203,Fran Drescher,68,5ft 4,False
204,Richard Dreyfuss,78,5ft 5,False
205,Minnie Driver,55,5ft 9,False
206,Anthony Edwards,63,6ft 2,False
207,Jennifer Ehle,56,5ft 7,False
208,Sam Elliott,81,6ft 2,False
209,Robert Englund,78,5ft 9,False
210,Emilio Estevez,63,5ft 4,False
211,Morgan Fairchild,75,5ft 4,False
212,Terry Farrell,62,5ft 11,False
213,Sally Field,79,5ft 2,False
214,Linda Fiorentino,67,5ft 7,False
215,Laurence Fishburne,64,6ft 0,False
216,Bridget Fonda,61,5ft 6,False
217,Jane Fonda,88,5ft 7,False
218,Michelle Forbes,60,5ft 8,False
219,Jonathan Frakes,73,6ft 3,False
220,Brendan Fraser,57,6ft 2,False
221,Andy Garcia,69,5ft 9,False
222,Janeane Garofalo,61,5ft 1,False
223,Jami Gertz,60,5ft 5,False
224,Danny Glover,79,6ft 3,False
225,Valeria Golino,60,5ft 5,False
226,John Goodman,73,6ft 2,False
227,Hugh Grant,65,5ft 11,False
228,Jennifer Grey,65,5ft 3,False
229,Pam Grier,76,5ft 7,False
230,Melanie Griffith,68,5ft 8,False
231,Daryl Hannah,65,5ft 10,False
232,Woody Harrelson,64,5ft 9,False
233,Ed Harris,75,5ft 8,False
234,Neil Patrick Harris,52,5ft 11,False
235,Nina Hartley,66,5ft 3,False
236,Noah Hathaway,54,5ft 5,False
237,Goldie Hawn,80,5ft 6,False
238,Dan Hedaya,85,5ft 9,False
239,Mariel Hemingway,64,5ft 10,False
240,Marilu Henner,73,5ft 7,False
241,Lance Henriksen,85,5ft 9,False
242,Natasha Henstridge,51,5ft 9,False
243,Gaby Hoffmann,43,5ft 7,False
244,Lauren Holly,62,5ft 5,False
245,Holly Hunter,67,5ft 1,False
246,Jeremy Irons,77,6ft 1,False
